Cell ID	Plate ID	Well Y	Well X	MEASUREMENT SET ID	Total Cells (MultiWaveScoring)	% Positive W2 (MultiWaveScoring)	% Positive W3 (MultiWaveScoring)	Scan_ID	Well_ID
10313_93229_93229_0	10313	14	15	20191	1476	37.737129000000003	99.254745	10313	N15
10313_93241_93241_0	10313	3	16	20191	196	37.755099999999899	99.489799000000005	10313	C16
10313_93240_93240_0	10313	4	16	20191	999	25.225224999999899	96.896895999999899	10313	D16
10313_93239_93239_0	10313	5	16	20191	763	37.090431000000002	99.213631000000007	10313	E16
10313_93238_93238_0	10313	6	16	20191	1173	52.088661000000002	99.829498000000001	10313	F16
10313_93237_93237_0	10313	7	16	20191	1239	33.4140429999999	99.192893999999896	10313	G16
10313_93236_93236_0	10313	8	16	20191	2241	18.607765000000001	99.687636999999896	10313	H16
10313_93235_93235_0	10313	9	16	20191	568	52.288730999999899	99.119720000000001	10313	I16
10313_93234_93234_0	10313	10	16	20191	1179	55.216285999999897	99.151825000000002	10313	J16
10313_93233_93233_0	10313	11	16	20191	315	34.603175999999898	98.095237999999895	10313	K16
10313_93232_93232_0	10313	12	16	20191	512	72.851562999999899	99.804687999999899	10313	L16
10313_93231_93231_0	10313	13	16	20191	1484	34.164420999999898	99.932616999999894	10313	M16
10313_93230_93230_0	10313	14	16	20191	1981	22.513881999999899	99.545685000000006	10313	N16
10313_93242_93242_0	10313	3	17	20191	2112	41.619320000000002	99.573859999999897	10313	C17
10313_93243_93243_0	10313	4	17	20191	485	36.288657999999899	99.381446999999895	10313	D17
10313_93244_93244_0	10313	5	17	20191	1424	39.466293	99.438202000000004	10313	E17
10313_93245_93245_0	10313	6	17	20191	1798	33.092323	99.610680000000002	10313	F17
10313_93246_93246_0	10313	7	17	20191	2262	26.436781	99.381080999999895	10313	G17
10313_93247_93247_0	10313	8	17	20191	715	39.860142000000003	99.580421000000001	10313	H17
10313_93248_93248_0	10313	9	17	20191	579	85.146805000000001	99.827286000000001	10313	I17
10313_93249_93249_0	10313	10	17	20191	2028	37.228797999999898	99.605521999999894	10313	J17
10313_93250_93250_0	10313	11	17	20191	1956	27.811861	99.744377	10313	K17
10313_93251_93251_0	10313	12	17	20191	1382	35.383502999999898	99.855286000000007	10313	L17
10313_93252_93252_0	10313	13	17	20191	1980	29.141414999999899	99.595962999999898	10313	M17
10313_93253_93253_0	10313	14	17	20191	1504	33.710106000000003	98.736701999999894	10313	N17
10313_93265_93265_0	10313	3	18	20191	724	54.143645999999897	99.309394999999896	10313	C18
