Exp_ID	Plate_ID	Date	Plate_Row	Plate_Col	Well_No	Well_ID	Calculated.results..Calc.1..Crosstalk...Crosstalk.correction.where.Label...Glo.US.LUM.384..cps..1..channel.1	Results.for.Glo.US.LUM.384..cps..1....channel.0..CPS.	NA.
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	18	274	B18	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	18	275	C18	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	18	276	D18	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	18	277	E18	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	18	278	F18	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	18	279	G18	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	18	280	H18	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	18	281	I18	800	800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	18	282	J18	1200	1200	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	18	283	K18	1440	1440	-
