Plate ID	Well Name	MEASUREMENT SET ID	Cell: W2 Nucleus Average Intensity (MultiWaveScoring)	Cell: W2 Cytoplasm Average Intensity (MultiWaveScoring)	Cell: W2 Cell Average Intensity (MultiWaveScoring)	% Positive W2 (MultiWaveScoring)	Cell: W3 Nucleus Average Intensity (MultiWaveScoring)	Cell: W3 Cytoplasm Average Intensity (MultiWaveScoring)	Cell: W3 Cell Average Intensity (MultiWaveScoring)	% Positive W3 (MultiWaveScoring)	Total Cells (MultiWaveScoring)	Cell.line	Timepoint
10369	E18	20278	7131.961713	7516.199209	7626.442688	100	7131.961713	7516.199209	7225.982587	99.449539	1090	CFPAC1	Day01
10369	E19	20278	7171.441326	8108.505754	8942.391868	100	7171.441326	8108.505754	7626.442688	98.686302	2512	CFPAC1	Day01
10369	E20	20278	8485.240786	9494.142295	8060.893265	100	8485.240786	9494.142295	8942.391868	99.490227	1177	CFPAC1	Day01
10369	E21	20278	8073.307214	8325.16733	7505.389829	100	8073.307214	8325.16733	8060.893265	98.78788	990	CFPAC1	Day01
10369	E22	20278	7707.291624	7615.996651	1709.993773	99.890831	7707.291624	7615.996651	7505.389829	99.12664	916	CFPAC1	Day01
10369	F13	20278	1620.938418	1826.564643	1508.298705	98.13559	1620.938418	1826.564643	1709.993773	29.322035	590	CFPAC1	Day01
10369	F14	20278	1381.718364	1693.733435	1553.373965	97.171532	1381.718364	1693.733435	1508.298705	20.346716	1096	CFPAC1	Day01
10369	F15	20278	1421.425329	1725.153082	1548.327416	97.929794	1421.425329	1725.153082	1553.373965	10.531054	1111	CFPAC1	Day01
10369	F16	20278	1548.601373	1564.379745	1643.972243	95.705521	1548.601373	1564.379745	1548.327416	7.239264	815	CFPAC1	Day01
10369	F17	20278	1514.950347	1807.949554	8498.163017	98.155739	1514.950347	1807.949554	1643.972243	18.647541	976	CFPAC1	Day01
10369	F18	20278	9142.60539	8211.124735	7679.315662	99.900497	9142.60539	8211.124735	8498.163017	97.810944	1005	CFPAC1	Day01
10369	F19	20278	8447.58886	7327.867388	9301.212498	99.740936	8447.58886	7327.867388	7679.315662	97.279793	772	CFPAC1	Day01
10369	F20	20278	8870.766477	9853.042845	8912.101391	100	8870.766477	9853.042845	9301.212498	99.746513	789	CFPAC1	Day01
10369	F21	20278	8494.102778	9481.628986	8367.10251	100	8494.102778	9481.628986	8912.101391	99.632355	816	CFPAC1	Day01
10369	F22	20278	8222.119189	8648.788146	1579.517617	100	8222.119189	8648.788146	8367.10251	99.68119	941	CFPAC1	Day01
10369	G13	20278	1444.333431	1759.413573	1351.602047	98.111511	1444.333431	1759.413573	1579.517617	15.107914	1112	CFPAC1	Day01
10369	G14	20278	1225.976476	1574.033	1517.636681	94.260483	1225.976476	1574.033	1351.602047	11.626196	1359	CFPAC1	Day01
10369	G15	20278	1414.105667	1682.689119	1463.117292	96.178802	1414.105667	1682.689119	1517.636681	10.886806	1387	CFPAC1	Day01
10369	G16	20278	1331.19059	1654.035762	1439.034376	96.491226	1331.19059	1654.035762	1463.117292	9.551657	1539	CFPAC1	Day01
10369	G17	20278	1483.912928	1274.858523	9195.249248	78.181816	1483.912928	1274.858523	1439.034376	2.121212	660	CFPAC1	Day01
